Date,Close/Last,Volume,Open,High,Low,Symbol
8/8/2025,$159.03 ,8920993,$155.02 ,$163.22 ,$154.12 ,CRCL
8/7/2025,$152.93 ,10166260,$167.68 ,$169.92 ,$151.10 ,CRCL
8/6/2025,$161.71 ,8357923,$150.09 ,$162.44 ,$149.00 ,CRCL
8/5/2025,$153.93 ,7802420,$160.00 ,$164.32 ,$153.91 ,CRCL
8/4/2025,$164.82 ,11701260,$172.10 ,$172.10 ,$154.50 ,CRCL
8/1/2025,$168.10 ,12924880,$176.93 ,$181.55 ,$167.30 ,CRCL
7/31/2025,$183.52 ,5770643,$188.76 ,$189.87 ,$183.00 ,CRCL
7/30/2025,$190.50 ,9317694,$182.62 ,$193.33 ,$182.10 ,CRCL
7/29/2025,$181.64 ,9534789,$187.88 ,$190.75 ,$180.68 ,CRCL
7/28/2025,$185.36 ,9524221,$196.98 ,$197.90 ,$183.91 ,CRCL
7/25/2025,$192.86 ,6988469,$192.54 ,$195.70 ,$187.50 ,CRCL
7/24/2025,$193.08 ,9085863,$199.75 ,$201.25 ,$189.23 ,CRCL
7/23/2025,$202.41 ,10319800,$198.38 ,$202.50 ,$195.08 ,CRCL
7/22/2025,$198.31 ,18485880,$207.55 ,$211.99 ,$192.90 ,CRCL
7/21/2025,$216.10 ,19033130,$226.40 ,$231.88 ,$213.33 ,CRCL
7/18/2025,$223.78 ,42877370,$244.90 ,$262.97 ,$222.49 ,CRCL
7/17/2025,$235.08 ,29222490,$225.59 ,$244.36 ,$220.01 ,CRCL
7/16/2025,$233.20 ,44001740,$203.05 ,$239.70 ,$201.32 ,CRCL
7/15/2025,$195.33 ,14758550,$198.00 ,$203.46 ,$188.10 ,CRCL
7/14/2025,$204.70 ,15445170,$189.27 ,$204.91 ,$185.54 ,CRCL
7/11/2025,$187.33 ,18227350,$204.18 ,$206.80 ,$182.50 ,CRCL
7/10/2025,$202.90 ,12340100,$208.84 ,$209.57 ,$199.00 ,CRCL
7/9/2025,$200.68 ,17934430,$209.36 ,$215.60 ,$197.25 ,CRCL
7/8/2025,$204.81 ,22225550,$199.50 ,$209.50 ,$196.00 ,CRCL
7/7/2025,$207.46 ,31640760,$193.75 ,$208.60 ,$186.60 ,CRCL
7/3/2025,$188.77 ,17191950,$182.17 ,$192.50 ,$181.39 ,CRCL
7/2/2025,$177.97 ,18546020,$187.21 ,$189.00 ,$176.00 ,CRCL
7/1/2025,$192.53 ,31252120,$184.67 ,$194.00 ,$171.50 ,CRCL
6/30/2025,$181.29 ,34461530,$181.77 ,$192.50 ,$178.00 ,CRCL
6/27/2025,$180.43 ,48112120,$223.65 ,$223.65 ,$175.60 ,CRCL
6/26/2025,$213.63 ,45550340,$209.04 ,$226.95 ,$205.68 ,CRCL
6/25/2025,$198.62 ,49283190,$218.55 ,$227.54 ,$198.00 ,CRCL
6/24/2025,$222.65 ,68222560,$250.42 ,$265.00 ,$217.58 ,CRCL
6/23/2025,$263.45 ,99128740,$238.46 ,$298.99 ,$232.48 ,CRCL
6/20/2025,$240.28 ,92427230,$231.50 ,$248.88 ,$206.17 ,CRCL
6/18/2025,$199.59 ,63566770,$153.22 ,$200.90 ,$148.00 ,CRCL
6/17/2025,$149.15 ,31234200,$156.36 ,$164.42 ,$143.53 ,CRCL
6/16/2025,$151.06 ,43781550,$147.54 ,$165.60 ,$145.88 ,CRCL
6/13/2025,$133.56 ,34013580,$108.81 ,$134.72 ,$108.80 ,CRCL
6/12/2025,$106.54 ,13416510,$116.79 ,$117.93 ,$104.26 ,CRCL
6/11/2025,$117.20 ,26481380,$107.00 ,$120.49 ,$106.50 ,CRCL
6/10/2025,$105.91 ,25517790,$115.00 ,$115.00 ,$101.51 ,CRCL
6/9/2025,$115.25 ,45521140,$132.72 ,$138.57 ,$108.40 ,CRCL
6/6/2025,$107.70 ,60706260,$96.39 ,$123.52 ,$92.95 ,CRCL
6/5/2025,$83.23 ,47784340,$69.00 ,$103.75 ,$64.00 ,CRCL
